Episode 0, Avg Reward: 86.90, Best Reward: 86.90, remain_bees: 47, step: 1200
Episode 500, Avg Reward: 153.75, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 510, Avg Reward: 286.19, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 520, Avg Reward: 181.76, Best Reward: 1394.20, remain_bees: 48, step: 1200
Episode 530, Avg Reward: 229.74, Best Reward: 1394.20, remain_bees: 44, step: 1200
Episode 540, Avg Reward: 231.15, Best Reward: 1394.20, remain_bees: 42, step: 1200
Episode 550, Avg Reward: 359.68, Best Reward: 1394.20, remain_bees: 41, step: 1200
Episode 560, Avg Reward: 366.42, Best Reward: 1394.20, remain_bees: 39, step: 1200
Episode 570, Avg Reward: 261.33, Best Reward: 1394.20, remain_bees: 44, step: 1200
Episode 580, Avg Reward: 467.82, Best Reward: 1394.20, remain_bees: 43, step: 1200
Episode 590, Avg Reward: 407.05, Best Reward: 1394.20, remain_bees: 41, step: 1200
Episode 600, Avg Reward: 164.34, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 610, Avg Reward: 347.54, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 620, Avg Reward: 160.99, Best Reward: 1394.20, remain_bees: 47, step: 1200
Episode 630, Avg Reward: 330.78, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 640, Avg Reward: 348.65, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 650, Avg Reward: 204.17, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 660, Avg Reward: 457.14, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 670, Avg Reward: 465.22, Best Reward: 1405.70, remain_bees: 41, step: 1200
Episode 680, Avg Reward: 275.66, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 690, Avg Reward: 273.50, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 700, Avg Reward: 369.28, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 710, Avg Reward: 201.51, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 720, Avg Reward: 169.78, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 730, Avg Reward: 203.43, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 740, Avg Reward: 247.64, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 750, Avg Reward: 191.17, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 760, Avg Reward: 191.87, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 770, Avg Reward: 203.95, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 780, Avg Reward: 190.29, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 790, Avg Reward: 160.95, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 800, Avg Reward: 263.67, Best Reward: 1405.70, remain_bees: 43, step: 1200
Episode 810, Avg Reward: 270.62, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 820, Avg Reward: 193.06, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 830, Avg Reward: 169.66, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 840, Avg Reward: 155.69, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 850, Avg Reward: 237.36, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 860, Avg Reward: 173.82, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 870, Avg Reward: 231.57, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 880, Avg Reward: 169.22, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 890, Avg Reward: 297.24, Best Reward: 1405.70, remain_bees: 43, step: 530
Episode 900, Avg Reward: 252.72, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 910, Avg Reward: 252.67, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 920, Avg Reward: 238.39, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 930, Avg Reward: 301.50, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 940, Avg Reward: 267.45, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 950, Avg Reward: 275.11, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 960, Avg Reward: 180.74, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 970, Avg Reward: 187.42, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 980, Avg Reward: 218.61, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 990, Avg Reward: 277.67, Best Reward: 1405.70, remain_bees: 43, step: 1200
Episode 1000, Avg Reward: 172.04, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1010, Avg Reward: 202.49, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1020, Avg Reward: 224.72, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1030, Avg Reward: 160.91, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1040, Avg Reward: 269.10, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1050, Avg Reward: 189.03, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1060, Avg Reward: 320.08, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1070, Avg Reward: 252.05, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 1080, Avg Reward: 199.54, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1090, Avg Reward: 200.09, Best Reward: 1405.70, remain_bees: 44, step: 1200
Episode 1100, Avg Reward: 227.83, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1110, Avg Reward: 352.61, Best Reward: 1405.70, remain_bees: 43, step: 1200
Episode 1120, Avg Reward: 240.31, Best Reward: 1405.70, remain_bees: 40, step: 1200
Episode 1130, Avg Reward: 364.84, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1140, Avg Reward: 222.76, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1150, Avg Reward: 258.83, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1160, Avg Reward: 221.64, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1170, Avg Reward: 296.00, Best Reward: 1405.70, remain_bees: 43, step: 1200
Episode 1180, Avg Reward: 355.77, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1190, Avg Reward: 200.58, Best Reward: 1405.70, remain_bees: 43, step: 1200
Episode 1200, Avg Reward: 469.97, Best Reward: 1405.70, remain_bees: 40, step: 1200
Episode 1210, Avg Reward: 203.39, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1220, Avg Reward: 321.65, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1230, Avg Reward: 308.56, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1240, Avg Reward: 291.38, Best Reward: 1405.70, remain_bees: 44, step: 1200
Episode 1250, Avg Reward: 342.17, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1260, Avg Reward: 171.88, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1270, Avg Reward: 190.58, Best Reward: 1405.70, remain_bees: 44, step: 1200
Episode 1280, Avg Reward: 237.04, Best Reward: 1405.70, remain_bees: 43, step: 233
Episode 1290, Avg Reward: 279.26, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1300, Avg Reward: 301.51, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1310, Avg Reward: 330.06, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1320, Avg Reward: 288.83, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 1330, Avg Reward: 232.97, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1340, Avg Reward: 410.44, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1350, Avg Reward: 361.80, Best Reward: 1405.70, remain_bees: 41, step: 1200
Episode 1360, Avg Reward: 262.24, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1370, Avg Reward: 399.21, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 1380, Avg Reward: 268.85, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1390, Avg Reward: 193.22, Best Reward: 1405.70, remain_bees: 44, step: 1200
Episode 1400, Avg Reward: 221.58, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1410, Avg Reward: 162.07, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1420, Avg Reward: 327.76, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1430, Avg Reward: 249.76, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1440, Avg Reward: 300.48, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1450, Avg Reward: 386.56, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1460, Avg Reward: 319.30, Best Reward: 1405.70, remain_bees: 43, step: 1200
Episode 1470, Avg Reward: 270.28, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1480, Avg Reward: 265.15, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1490, Avg Reward: 416.23, Best Reward: 1405.70, remain_bees: 40, step: 1200
Episode 1500, Avg Reward: 250.08, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1510, Avg Reward: 393.41, Best Reward: 1405.70, remain_bees: 39, step: 1200
Episode 1520, Avg Reward: 191.63, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1530, Avg Reward: 324.56, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1540, Avg Reward: 356.75, Best Reward: 1405.70, remain_bees: 40, step: 1200
Episode 1550, Avg Reward: 324.39, Best Reward: 1405.70, remain_bees: 44, step: 1200
Episode 1560, Avg Reward: 244.62, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1570, Avg Reward: 344.59, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1580, Avg Reward: 223.58, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1590, Avg Reward: 169.74, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1600, Avg Reward: 239.37, Best Reward: 1405.70, remain_bees: 45, step: 133
Episode 1610, Avg Reward: 220.74, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1620, Avg Reward: 358.71, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1630, Avg Reward: 195.80, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1640, Avg Reward: 181.65, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1650, Avg Reward: 222.78, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1660, Avg Reward: 192.01, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1670, Avg Reward: 224.49, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1680, Avg Reward: 273.54, Best Reward: 1405.70, remain_bees: 40, step: 1200
Episode 1690, Avg Reward: 178.58, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1700, Avg Reward: 162.35, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1710, Avg Reward: 228.47, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1720, Avg Reward: 176.26, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1730, Avg Reward: 398.51, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1740, Avg Reward: 349.27, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1750, Avg Reward: 179.44, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1760, Avg Reward: 222.36, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1770, Avg Reward: 258.51, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1780, Avg Reward: 265.77, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1790, Avg Reward: 195.60, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1800, Avg Reward: 253.48, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1810, Avg Reward: 183.97, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1820, Avg Reward: 260.16, Best Reward: 1405.70, remain_bees: 43, step: 1200
Episode 1830, Avg Reward: 253.58, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1840, Avg Reward: 222.91, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1850, Avg Reward: 197.62, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 1860, Avg Reward: 249.42, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1870, Avg Reward: 170.57, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1880, Avg Reward: 152.38, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1890, Avg Reward: 181.12, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1900, Avg Reward: 188.71, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1910, Avg Reward: 200.71, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1920, Avg Reward: 232.55, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1930, Avg Reward: 218.35, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1940, Avg Reward: 211.59, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1950, Avg Reward: 248.13, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1960, Avg Reward: 206.60, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1970, Avg Reward: 220.13, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 1980, Avg Reward: 218.63, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 1990, Avg Reward: 159.58, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2000, Avg Reward: 178.14, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2010, Avg Reward: 180.62, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2020, Avg Reward: 179.80, Best Reward: 1405.70, remain_bees: 44, step: 1200
Episode 2030, Avg Reward: 196.01, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2040, Avg Reward: 201.50, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2050, Avg Reward: 139.16, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2060, Avg Reward: 188.59, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2070, Avg Reward: 197.40, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2080, Avg Reward: 171.47, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2090, Avg Reward: 229.01, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2100, Avg Reward: 137.39, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2110, Avg Reward: 164.56, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2120, Avg Reward: 291.18, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2130, Avg Reward: 209.27, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2140, Avg Reward: 220.97, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2150, Avg Reward: 251.61, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 2160, Avg Reward: 240.39, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2170, Avg Reward: 185.78, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2180, Avg Reward: 220.92, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2190, Avg Reward: 290.39, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2200, Avg Reward: 181.70, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2210, Avg Reward: 259.91, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2220, Avg Reward: 231.24, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2230, Avg Reward: 209.77, Best Reward: 1405.70, remain_bees: 44, step: 1200
Episode 2240, Avg Reward: 265.16, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2250, Avg Reward: 151.36, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2260, Avg Reward: 213.79, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2270, Avg Reward: 212.31, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2280, Avg Reward: 179.82, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2290, Avg Reward: 160.47, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2300, Avg Reward: 158.94, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2310, Avg Reward: 210.43, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2320, Avg Reward: 210.46, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 2330, Avg Reward: 209.08, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2340, Avg Reward: 174.58, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2350, Avg Reward: 245.30, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2360, Avg Reward: 192.34, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2370, Avg Reward: 213.67, Best Reward: 1405.70, remain_bees: 43, step: 1200
Episode 2380, Avg Reward: 166.15, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2390, Avg Reward: 217.61, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2400, Avg Reward: 281.06, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2410, Avg Reward: 360.50, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2420, Avg Reward: 190.04, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2430, Avg Reward: 181.12, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2440, Avg Reward: 180.88, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2450, Avg Reward: 209.64, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 2460, Avg Reward: 192.22, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2470, Avg Reward: 167.49, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2480, Avg Reward: 231.88, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2490, Avg Reward: 201.64, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2500, Avg Reward: 281.33, Best Reward: 1405.70, remain_bees: 38, step: 514
Episode 2510, Avg Reward: 235.01, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2520, Avg Reward: 178.98, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2530, Avg Reward: 182.70, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2540, Avg Reward: 162.52, Best Reward: 1405.70, remain_bees: 47, step: 1200
Episode 2550, Avg Reward: 155.52, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2560, Avg Reward: 219.13, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2570, Avg Reward: 221.21, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2580, Avg Reward: 160.34, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2590, Avg Reward: 195.34, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2600, Avg Reward: 171.23, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2610, Avg Reward: 201.67, Best Reward: 1405.70, remain_bees: 42, step: 1200
Episode 2620, Avg Reward: 218.66, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2630, Avg Reward: 179.35, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2640, Avg Reward: 302.51, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2650, Avg Reward: 231.03, Best Reward: 1405.70, remain_bees: 41, step: 455
Episode 2660, Avg Reward: 201.71, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2670, Avg Reward: 160.64, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2680, Avg Reward: 200.56, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2690, Avg Reward: 159.17, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2700, Avg Reward: 306.37, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2710, Avg Reward: 220.70, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2720, Avg Reward: 263.26, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2730, Avg Reward: 213.51, Best Reward: 1405.70, remain_bees: 45, step: 1200
Episode 2740, Avg Reward: 178.14, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2750, Avg Reward: 235.42, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2760, Avg Reward: 194.25, Best Reward: 1405.70, remain_bees: 46, step: 1200
Episode 2770, Avg Reward: 246.94, Best Reward: 1405.70, remain_bees: 43, step: 1200
